title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Government Purchase Program - Shopping Agreement - Apple,https://www.apple.com/us_epp_67909/store,8.4,0,0,0,10,1,3,0,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
"Apple Accessories for Apple Watch, iPhone, iPad, Mac and Vision Pro - Apple",https://www.apple.com/us/shop/goto/buy_accessories,8.4,0,16,1,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Financing and Credit - Apple,https://www.apple.com/us/shop/goto/payment_plan,8.2,0,3,0,0,0,2,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Intelligence - Apple,https://www.apple.com/apple-intelligence,8.1,0,4,0,2,0,0,3,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple - Legal - Sales Policies - U.S. Retail Sales,https://www.apple.com/us/shop/goto/help/sales_refunds,8.0,0,5,0,3,12,0,0,44,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple News Identity Guidelines,https://www.apple.com/itunes/marketing-on-news/identity-guidelines.html,7.8,0,1,0,1,1,2,0,10,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Ethics and Compliance - Training - Apple,https://www.apple.com/compliance/training,7.7,0,0,0,0,0,29,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Worldwide Campuses and Global Jobs - Careers at Apple,https://www.apple.com/careers/us/work-at-apple/locations.html,7.5,0,3,0,2,0,3,0,7,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Pay - Apple,https://www.apple.com/apple-pay,7.3,0,2,0,0,2,1,4,1,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Gift Card - Apple,https://www.apple.com/us/shop/goto/giftcards,7.0,0,4,0,0,1,1,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Mike Fenger - Apple,https://www.apple.com/leadership/mike-fenger,6.9,0,0,1,1,0,1,0,2,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Wallet - Apple,https://www.apple.com/wallet,6.9,0,4,0,1,0,1,1,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
iPhone - Apple,https://www.apple.com/iphone,6.6,0,5,0,0,0,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Greg Joswiak - Apple,https://www.apple.com/leadership/greg-joswiak,6.5,0,1,0,0,0,1,1,5,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Apple,https://www.apple.com/leadership,6.5,0,1,1,0,0,0,0,2,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Business - Apple,https://www.apple.com/business,6.1,0,2,0,0,0,2,0,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
AirPods - Apple,https://www.apple.com/airpods,6.0,0,5,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Ethics and Compliance - Third Parties - Apple,https://www.apple.com/compliance/third-parties,5.9,0,3,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Sue Wagner Joins Apple's Board of Directors - Apple,https://www.apple.com/newsroom/2014/07/17Sue-Wagner-Joins-Apple-s-Board-of-Directors,5.9,0,2,1,1,0,0,0,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple - Legal,https://www.apple.com/legal,5.9,0,4,0,1,0,0,0,9,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Kevan Parekh - Apple,https://www.apple.com/leadership/kevan-parekh,5.8,0,2,1,0,1,0,0,1,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Tim Cook - Apple,https://www.apple.com/leadership/tim-cook,5.7,0,1,1,1,0,0,0,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Store - Find a Store - Apple,https://www.apple.com/retail,5.7,0,3,0,1,0,0,0,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Ethics and Compliance - Speak Up - Apple,https://www.apple.com/compliance/speak-up,5.5,0,0,0,0,0,4,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Mac - Apple,https://www.apple.com/mac,5.5,0,5,1,0,0,0,2,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
"Life at Apple: Culture, Values and Growth - Careers at Apple",https://www.apple.com/careers/us/life-at-apple.html,5.1,0,1,0,3,0,3,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Molly Anderson - Apple,https://www.apple.com/leadership/molly-anderson,4.8,0,2,0,0,0,0,0,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Teams - Careers at Apple,https://www.apple.com/careers/us/work-at-apple/teams.html,4.7,0,1,0,1,0,2,0,3,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
